Velocidad Bala,Desplazamiento Bala,Estatus Salto
-5,580,0
-5,575,0
-5,570,0
-5,565,0
-5,560,0
-5,555,0
-5,550,0
-5,545,0
-5,540,0
-5,535,0
-5,530,0
-5,525,0
-5,520,0
-5,515,0
-5,510,0
-5,505,0
-5,500,0
-5,495,0
-5,490,0
-5,485,0
-5,480,0
-5,475,0
-5,470,0
-5,465,0
-5,460,0
-5,455,0
-5,450,0
-5,445,0
-5,440,0
-5,435,0
-5,430,0
-5,425,0
-5,420,0
-5,415,0
-5,410,0
-5,405,0
-5,400,0
-5,395,0
-5,390,0
-5,385,0
-5,380,0
-5,375,0
-5,370,0
-5,365,0
-5,360,0
-5,355,0
-5,350,0
-5,345,0
-5,340,0
-5,335,0
-5,330,0
-5,325,0
-5,320,0
-5,315,0
-5,310,0
-5,305,0
-5,300,0
-5,295,0
-5,290,0
-5,285,0
-5,280,0
-5,275,0
-5,270,0
-5,265,0
-5,260,0
-5,255,0
-5,250,0
-5,245,0
-5,240,0
-5,235,0
-5,230,0
-5,225,0
-5,220,0
-5,215,0
-5,210,0
-5,205,0
-5,200,0
-5,195,0
-5,190,0
-5,185,0
-5,180,0
-5,175,0
-5,170,0
-5,165,0
-5,160,0
-5,155,0
-5,150,0
-5,145,0
-5,140,0
-5,135,0
-5,130,0
-5,125,0
-5,120,0
-5,115,0
-5,110,0
-5,105,0
-5,100,0
-5,95,0
-5,90,0
-5,85,0
-5,80,0
-5,75,1
-5,70,1
-5,65,1
-5,60,1
-5,55,1
-5,50,1
-5,45,1
-5,40,1
-5,35,1
-5,30,1
-5,25,1
-5,20,1
-5,15,1
-5,10,1
-5,5,1
-5,0,1
-5,5,1
-5,10,1
-5,15,1
-5,20,1
-5,25,1
-5,30,1
-5,35,1
-5,40,1
-5,45,1
-5,50,1
-5,700,1
-7,693,1
-7,686,1
-7,679,1
-7,672,0
-7,665,0
-7,658,0
-7,651,0
-7,644,0
-7,637,0
-7,630,0
-7,623,0
-7,616,0
-7,609,0
-7,602,0
-7,595,0
-7,588,0
-7,581,0
-7,574,0
-7,567,0
-7,560,0
-7,553,0
-7,546,0
-7,539,0
-7,532,0
-7,525,0
-7,518,0
-7,511,0
-7,504,0
-7,497,0
-7,490,0
-7,483,0
-7,476,0
-7,469,0
-7,462,0
-7,455,0
-7,448,0
-7,441,0
-7,434,0
-7,427,0
-7,420,0
-7,413,0
-7,406,0
-7,399,0
-7,392,0
-7,385,0
-7,378,0
-7,371,0
-7,364,0
-7,357,0
-7,350,0
-7,343,0
-7,336,0
-7,329,0
-7,322,0
-7,315,0
-7,308,0
-7,301,0
-7,294,0
-7,287,0
-7,280,0
-7,273,0
-7,266,0
-7,259,0
-7,252,0
-7,245,0
-7,238,0
-7,231,0
-7,224,0
-7,217,0
-7,210,0
-7,203,0
-7,196,0
-7,189,0
-7,182,0
-7,175,0
-7,168,0
-7,161,0
-7,154,0
-7,147,0
-7,140,0
-7,133,0
-7,126,0
-7,119,0
-7,112,0
-7,105,0
-7,98,0
-7,91,0
-7,84,0
-7,77,1
-7,70,1
-7,63,1
-7,56,1
-7,49,1
-7,42,1
-7,35,1
-7,28,1
-7,21,1
-7,14,1
-7,7,1
-7,0,1
-7,7,1
-7,14,1
-7,21,1
-7,28,1
-7,35,1
-7,42,1
-7,49,1
-7,700,1
-5,695,1
-5,690,1
-5,685,1
-5,680,1
-5,675,1
-5,670,1
-5,665,1
-5,660,1
-5,655,1
-5,650,1
-5,645,0
-5,640,0
-5,635,0
-5,630,0
-5,625,0
-5,620,0
-5,615,0
-5,610,0
-5,605,0
-5,600,0
-5,595,0
-5,590,0
-5,585,0
-5,580,0
-5,575,0
-5,570,0
-5,565,0
-5,560,0
-5,555,0
-5,550,0
-5,545,0
-5,540,0
-5,535,0
-5,530,0
-5,525,0
-5,520,0
-5,515,0
-5,510,0
-5,505,0
-5,500,0
-5,495,0
-5,490,0
-5,485,0
-5,480,0
-5,475,0
-5,470,0
-5,465,0
-5,460,0
-5,455,0
-5,450,0
-5,445,0
-5,440,0
-5,435,0
-5,430,0
-5,425,0
-5,420,0
-5,415,0
-5,410,0
-5,405,0
-5,400,0
-5,395,0
-5,390,0
-5,385,0
-5,380,0
-5,375,0
-5,370,0
-5,365,0
-5,360,0
-5,355,0
-5,350,0
-5,345,0
-5,340,0
-5,335,0
-5,330,0
-5,325,0
-5,320,0
-5,315,0
-5,310,0
-5,305,0
-5,300,0
-5,295,0
-5,290,0
-5,285,0
-5,280,0
-5,275,0
-5,270,0
-5,265,0
-5,260,0
-5,255,0
-5,250,0
-5,245,0
-5,240,0
-5,235,0
-5,230,0
-5,225,0
-5,220,0
-5,215,0
-5,210,0
-5,205,0
-5,200,0
-5,195,0
-5,190,0
-5,185,0
-5,180,0
-5,175,0
-5,170,0
-5,165,0
-5,160,0
-5,155,0
-5,150,0
-5,145,0
-5,140,0
-5,135,0
-5,130,0
-5,125,0
-5,120,0
-5,115,0
-5,110,0
-5,105,0
-5,100,0
-5,95,0
-5,90,0
-5,85,1
-5,80,1
-5,75,1
-5,70,1
-5,65,1
-5,60,1
-5,55,1
-5,50,1
-5,45,1
-5,40,1
-5,35,1
-5,30,1
-5,25,1
-5,20,1
-5,15,1
-5,10,1
-5,5,1
-5,0,1
-5,5,1
-5,10,1
-5,15,1
-5,20,1
-5,25,1
-5,30,1
-5,35,1
-5,40,1
-5,45,1
-5,50,1
-5,700,1
-10,690,1
-10,680,0
-10,670,0
-10,660,0
-10,650,0
-10,640,0
-10,630,0
-10,620,0
-10,610,0
-10,600,0
-10,590,0
-10,580,0
-10,570,0
-10,560,0
-10,550,0
-10,540,0
-10,530,0
-10,520,0
-10,510,0
-10,500,0
-10,490,0
-10,480,0
-10,470,0
-10,460,0
-10,450,0
-10,440,0
-10,430,0
-10,420,0
-10,410,0
-10,400,0
-10,390,0
-10,380,0
-10,370,0
-10,360,0
-10,350,0
-10,340,0
-10,330,0
-10,320,0
-10,310,0
-10,300,0
-10,290,0
-10,280,0
-10,270,0
-10,260,0
-10,250,0
-10,240,0
-10,230,0
-10,220,0
-10,210,0
-10,200,0
-10,190,0
-10,180,0
-10,170,0
-10,160,0
-10,150,0
-10,140,0
-10,130,0
-10,120,0
-10,110,0
-10,100,0
-10,90,1
-10,80,1
-10,70,1
-10,60,1
-10,50,1
-10,40,1
-10,30,1
-10,20,1
-10,10,1
-10,0,1
-10,10,1
-10,20,1
-10,30,1
-10,40,1
-10,50,1
-10,700,1
-9,691,1
-9,682,1
-9,673,1
-9,664,1
-9,655,1
-9,646,1
-9,637,1
-9,628,1
-9,619,1
-9,610,1
-9,601,1
-9,592,1
-9,583,1
-9,574,1
-9,565,0
-9,556,0
-9,547,0
-9,538,0
-9,529,0
-9,520,0
-9,511,0
-9,502,0
-9,493,0
-9,484,0
-9,475,0
-9,466,0
-9,457,0
-9,448,0
-9,439,0
-9,430,0
-9,421,0
-9,412,0
-9,403,0
-9,394,0
-9,385,0
-9,376,0
-9,367,0
-9,358,0
-9,349,0
-9,340,0
-9,331,0
-9,322,0
-9,313,0
-9,304,0
-9,295,0
-9,286,0
-9,277,0
-9,268,0
-9,259,0
-9,250,0
-9,241,0
-9,232,0
-9,223,0
-9,214,0
-9,205,0
-9,196,0
-9,187,0
-9,178,0
-9,169,0
-9,160,0
-9,151,0
-9,142,1
-9,133,1
-9,124,1
-9,115,1
-9,106,1
-9,97,1
-9,88,1
-9,79,1
-9,70,1
-9,61,1
-9,52,1
-9,43,1
-9,34,1
-9,25,1
-9,16,1
-9,7,1
-9,2,1
-9,11,1
-9,20,1
-9,29,1
-9,38,1
-9,47,1
-9,700,1
-4,696,1
-4,692,1
-4,688,1
-4,684,1
-4,680,1
-4,676,1
-4,672,1
-4,668,0
-4,664,0
-4,660,0
-4,656,0
-4,652,0
-4,648,0
-4,644,0
-4,640,0
-4,636,0
-4,632,0
-4,628,0
-4,624,0
-4,620,0
-4,616,0
-4,612,0
-4,608,0
-4,604,0
-4,600,0
-4,596,0
-4,592,0
-4,588,0
-4,584,0
-4,580,0
-4,576,0
-4,572,0
-4,568,0
-4,564,0
-4,560,0
-4,556,0
-4,552,0
-4,548,0
-4,544,0
-4,540,0
-4,536,0
-4,532,0
-4,528,0
-4,524,0
-4,520,0
-4,516,0
-4,512,0
-4,508,0
-4,504,0
-4,500,0
-4,496,0
-4,492,0
-4,488,0
-4,484,0
-4,480,0
-4,476,0
-4,472,0
-4,468,0
-4,464,0
-4,460,0
-4,456,0
-4,452,0
-4,448,0
-4,444,0
-4,440,0
-4,436,0
-4,432,0
-4,428,0
-4,424,0
-4,420,0
-4,416,0
-4,412,0
-4,408,0
-4,404,0
-4,400,0
-4,396,0
-4,392,0
-4,388,0
-4,384,0
-4,380,0
-4,376,0
-4,372,0
-4,368,0
-4,364,0
-4,360,0
-4,356,0
-4,352,0
-4,348,0
-4,344,0
-4,340,0
-4,336,0
-4,332,0
-4,328,0
-4,324,0
-4,320,0
-4,316,0
-4,312,0
-4,308,0
-4,304,0
-4,300,0
-4,296,0
-4,292,0
-4,288,0
-4,284,0
-4,280,0
-4,276,0
-4,272,0
-4,268,0
-4,264,0
-4,260,0
-4,256,0
-4,252,0
-4,248,0
-4,244,0
-4,240,0
-4,236,0
-4,232,0
-4,228,0
-4,224,0
-4,220,0
-4,216,0
-4,212,0
-4,208,0
-4,204,0
-4,200,0
-4,196,0
-4,192,0
-4,188,0
-4,184,0
-4,180,0
-4,176,0
-4,172,0
-4,168,0
-4,164,0
-4,160,0
-4,156,0
-4,152,0
-4,148,0
-4,144,0
-4,140,0
-4,136,0
-4,132,0
-4,128,0
-4,124,0
-4,120,0
-4,116,0
-4,112,0
-4,108,0
-4,104,0
-4,100,0
-4,96,0
-4,92,0
-4,88,0
-4,84,0
-4,80,0
-4,76,0
-4,72,0
-4,68,0
-4,64,0
-4,60,0
-4,56,1
-4,52,1
-4,48,1
-4,44,1
-4,40,1
-4,36,1
-4,32,1
-4,28,1
-4,24,1
-4,20,1
-4,16,1
-4,12,1
-4,8,1
-4,4,1
-4,0,1
-4,4,1
-4,8,1
-4,12,1
-4,16,1
-4,20,1
-4,24,1
-4,28,1
-4,32,1
-4,36,1
-4,40,1
-4,44,1
-4,48,1
-4,700,1
-9,691,1
-9,682,1
-9,673,0
-9,664,0
-9,655,0
-9,646,0
-9,637,0
-9,628,0
-9,619,0
-9,610,0
-9,601,0
-9,592,0
-9,583,0
-9,574,0
-9,565,0
-9,556,0
-9,547,0
-9,538,0
-9,529,0
-9,520,0
-9,511,0
-9,502,0
-9,493,0
-9,484,0
-9,475,0
-9,466,0
